sessionId,action
02795A3D486C4D87C3C0BE3ADFF4728A,"130,160,160,160,160,160,160,160,160,100,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,100,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,100,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
027F11AD7F581AEF1A71ADED9B61BAAE.i1,"189,130,100,160,160,160,160,160,160,160,160,130,160"
028203C22AF81288554B04295ED0BDF7.i1,"189,130,100,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,189,160,130,160,160,160,160,160,100,189,160,130,160,160,160,160,160,160,160,160,160,130,160,189,160,160,160,160,160"
02AD71F05B7B95FA2C8AE8C4AEABE876.i1,"189,130"
02CFBB8CD6EEC3DD7F72C193C87F3AD9.i1,"189,130,160,130,100,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,170"
02E039CF3E2742F01BEADE78511AD9B9.i1,"189,130,100,160,160,160,130"
0314531CC01099D877D53885295FCA0C.i2,"189,130,160,160,160,160,160,160,160,160,160,160,130,100,189,160,130,101,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,189,160,130,130,160,160,160,160,189,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,189,160,130"
032ECCBEAA31C19ADA7B53DE5749A14A.i1,"130,100,130,160,160,160,160,160,160,160,160,160,160,160"
0330651B6A7D67C1D3B85C934F226412.i1,"189,130,130,120,110,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,189,125,120,160,160,160,160,160,160,160,160,160,160,160,160,160,189,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,130,189,160,160,160,160,160,160,160,160,160,189,160,130,160,160,130,160,160,160,160,160,160,160,189,160,160,130,160,160,160,160,160,160,189,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160"
033F9C9C61D36B8E20465D2020287067.i1,"130,189,130,120,110,100,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130"
035C3778A09C734932C0732C68157359.i2,"130,100,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
035DFAE2D4F7FBA05AD40F9D107E99DF.i1,"189,160,130,160,160,160,160,160,160,160,160,160,189,160,130,100,160,160,160,160,160,160,160,160,160"
0366DC8974856A5E696D13E15570A729.i1,"160,160,160,160,160,160,160,160,160,189,160,130,100,160,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
03851284A645AEB4851DB37A1B1402F4.i1,"189,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,120,110,100,189,160,160,160,160,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,120,125,189,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
03AC618DB49848BDDBFD378FD05E3FB7.i1,"130,100,130,160,160,160,160,160,160,160,160,160,130,170,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
03AC911FBF58BF59ADDFC2DF499705F5.i1,"189,130,100,160,160,160,160,160,160,160,160,160,160,130"
03BD1EF0C629804BDF4ACAAA73DB1151.i1,"130,130,110,120,130,120,130,110,120,120,120,125,120,120,110,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,100,110,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,130"
03CCE679C9AB81BF9263E1B0575B54AF.i1,"189,130,130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,101,189,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,189,160,160,160,160,160,160,160,160,160,160,130,160,100,189,160,130,160,160,160,160,160,160,160,160"
03D1E901A95C1D82C07EB6CF5DD2DAAB.i1,"189,130,100,189,160,160,160,160,160,160,160,160,160,160,130"
03D94342CB5BBBD78AEDE8EDCDCB9573.i1,"160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,130,100,130,101,160,160,160,160,160,160,160,160,160,189,160"
03E1E82CDAE158B7F3A20BA598C6D4A7.i1,"189,130,160,160,160,130,100,160,160,160,160,160,160,160,160,160,189,160,130,101,160,160,160,160,160,160,160,160,160,160,130,100,189,160,130,101,160,160,160,160,160,160,160,160,160"
03EF96E6EE40696FFB4D4B0244434923.i1,"189,130,100,189,160,130,160,160,160,160,160,160,160,160,160"
03F16509330F724AC19BD639DDA19B33.i1,"189,130,100,130,189,160,160,160,160,160,160,160,160,160,160,100,160,160,160,160,160,160,160,160,160,160,130,101,160,130,160,160,160,160,160,160,160,160,160,189"
03F43E5632750C5F63FCE9C7A3497F7C.i1,"160,160,160,160,160,160,160,160,160,189,160,130,110,189,130,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160"
040EF385C44DB02C6D83E48501281E02.i1,"189,160,130,160,160,160,160,151,130,100,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,151,189,160,130,151"
043F5E42337A9FDBF81A75B2BCE88B63.i1,"189,130,100,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130"
044FC0BAED6CD86995955E89AB9C3174.i1,"189,130,120,110,100,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130"
04555C5DB60885C42390234DFF2D41FC.i1,"130,100,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
0456E07EAC540FD94E9F98590D47CB59.i1,"130,160,160,160,160,160,160,160,160,160,189,160,100,189,160,160,160,160,160,160,160,160,160,130,160"
0475D232C465FC773F56B68EBF0ADDE7.i1,"130,189,100,160,160,160,160,130,160,160,160,160,160,160,160,160,160,101,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,130,101,189,160,160,160,160,160,160,130,160,160,160,160,130,101,160,160,160,160,160,189,160,130,160,160,160,160,130,101,189,160,160,160,160,160,160,160,160,160,160,130,130,160,160,160,160,189,130,100,160,160,160,160,130"
049F5178E4EA39255EB82AF22902BAC5.i1,"130,160,160,160,160,160,160,160,160,160,189,160"
04BFF573944E5A338FEC962F1D1F355D.i2,"189,130,130,189,189,130,110,189,160,120"
04C1C2FC8A58DEA6961CE181ADCD33DC.i1,"189,130,189,160,130,100,160,160,160,160,160,160,160,160,160"
04CB7CA2D2AD282AE9B6D9B81E5BA740.i2,"130,160,160,160,160,160,160,160,189,160,189,160,160,160,160,160,160,160,160,130,160,130,100,160,160,160,160,160,160,160,160,160,189"
04D328E0670A5C683F7B66B5A71CBABA.i1,"120,110,160,130,160,160,189,100,130,160,160,160,160,160,160,160,160,160,189,160,100,130,120,110,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,125,100,130,160,160,160,160,160,160,160,160,160,160,101,189,160,130,160,160,160,160,160,160,160,160,160"
04D56D22A61B39F9E62C29456BAE7928,"130,160,160,160,130,100,130,160,130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
04FD48F8FD2664176C8109DE9CFF9A4D.i1,"189,130,100,189,160,130,160,160,160,160,160,160,160,160,160,100,160,130,189,160,160,160,160,160,160,160,160,160,160,130,101,160,130,160,130,160,160,160,160,160,160,160,160,160,189,100,189,160,160,160,160,160,160,160,160,160,160,130"
050755AF25760AEC1D6D7F97985320E7,"130,100,130,100,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
05295E8D700CADCB9BEA7F1F1D7D42A2.i1,"160,160,160,160,160,160,160,160,160,189,160,130,130,160,160,160,160,160,160,160,160,160,160,100,160,160,160,160,160,160,160,160,160,101,189,160,130,100,189,160,130,160,160,160,160,160,160,160,160,160"
0533B2372FB49F70864E6A6F8059BBA8.i1,"189,130,100,160,160,160,160,160,160,160,160,160,189,160,130"
05592D4D09957FED66ADFD9E9F904EE0.i1,"189,130,130,160,160,160,160,160,160,160,160,160,100,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
058889440FEDADA552157D4226552F97.i1,"160,160,160,160,160,160,160,160,160,160,130,100,189,160,160,160,160,160,160,160,160,160,160,130"
05AA8F7C7CFB3A43D7BF6214F2D19312.i1,"189,130,160,160,160,160,160,160,160,160,160,160,100,130,101,160,160,160,160,160,160,160,160,160,189,160,130,130,160,160,160,160,160,160,160,160,160,160,100,189,160,160,160,160,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,160,160,130,160,189,160,130,101,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,101,189,160,160,160,160,160,160,160,160,160,160,130"
05D8EBD584A2ABDBCF0D71FEAE5DBF20.i1,"130,189,100,130,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,160,189,160,100,160,130,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,130,130,100,100,130,160,160,160,160,160,160,160,160,160,160,130,100"
05DB1C714C75547CB72F8871CBE82346.i1,"189,130,100,189,160,130,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,110,189,189,160,130,151,160,160,160,160,160,160,160,160,160,151"
05DBB40D4904E6E806D3507F077EC908,"160,130,160,160,160,160,160,160,160"
05E92CBD20961195AD58D2DEB5491448.i1,"130,100,130,160,160,160,160,160,160,160,160,160,160"
05F02CAB68BC668A85EB6BF0E3572BF8.i1,"189,130,100,189,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
05F24508CDBA213AB54E6AEC8C1D0B2E.i1,"189,130,160,160,160,160,160,160,160,160,160,160,130,100"
0629AE5D1631E1A9DAC790BD23BDE80E.i1,"189,160,130,160,160,160,160,160,160,160,160,160,160,130,100,160,160,130,160,160,160,160,160,160,160,160,101,189"
063EADA0B7FB46B7543014596B29A582.i1,"189,130,189,130,130,110,189,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,130,160,130,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,130,125,100,160,160,160,160,160,160,160,160,160,189,160,130,151,160,160,160,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,189,160,160,130,189,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,189,160,151,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130"
0646CFC3695A7BFC9FAF9512E3B11E12.i1,"189,130,130,100,160,160,160,160,160,160,160,160,160,160,189"
06520A35968C38669E9E8C25B48A74BA.i1,"189,130,189,130,130,110,189,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,120,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,130,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,190"
0672B2234921C7EA9FE2BD82F27E31C3.i1,"189,130,100,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,189,160,160,160,160,160,160,130,189,160,160,160,160,160,160,160,160,160,160,160,130,100,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130"
06AA64FE04C7933D1586E7ED1CA6B9FB.i1,"189,130,100,160,160,160,160,160,160,160,160,160,189,160,130"
06AA9354A00DC99C364241130D636560.i1,"189,130,100,160,160,160,160,160,130,160,160,160,160,160,101,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,160,130,100,189,160,130,101,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,110,189,130,100,160,160,160,160,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,110,189,120,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,130,130,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,130,189,160,130,100,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,130,110,120,160,160,160,160,160,160,160,160,189"
07080B008086E556C3F2AC4EB16E2745.i1,"160,160,160,160,160,160,160,160,160,160,130,100,189,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160"
07215AD8C74051BF4C931A7E1293698B.i1,"189,130,100,189,160,160,160,160,160,160,160,160,160,160,130,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,100,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
072C17BB4B4A7108862E7F7185FE18A1.i1,"189,130,130,100,160,160,160,160,160,160,160,160,160,189,160,112,189,160,130,110,160,160,160,160,160,160,160"
